id,city_id,name,lat,long
8156,903,جاده آبکنار,37.456055432678774,49.3341064453125
8157,903,جاده خمیران,37.49147678107552,49.264068603515625
8143,903,جهانگانی,37.480715916076626,49.434828758239746
8134,903,خیابان معلم,37.4678417062228,49.49692726135254
8132,903,دهکده ساحلی,37.46681984855146,49.52310562133789
8135,903,ساحل قو,37.46651328852635,49.507870674133294
8131,903,سنگاچین,37.51394700554026,49.31488037109375
8146,903,سی متری,37.47553925171493,49.45894718170166
8140,903,شهرک اسحاقی,37.46561063226351,49.54188108444214
8130,903,طالب آباد,37.456055432678774,49.57374572753906
8145,903,طالقانی,37.46245976555416,49.48190689086914
8154,903,فرهنگ,37.48187380507868,49.421138763427734
8126,903,کپورچال,37.54430510679532,49.238319396972656
8152,903,کلویر,37.47765082916674,49.41367149353027
8127,903,گلشن,37.44978683111484,49.650306701660156
8128,903,لیجارکی حسن رود,37.45114961527568,49.611854553222656
8150,903,مسکن مهر,37.488275926234245,49.39676284790039
8148,903,مطهری,37.47373414627067,49.4543981552124
8155,903,منطقه آزاد,"",""
8142,903,نواب صفوی,37.46917010031369,49.453325271606445
8149,903,نوغان,37.47114561709881,49.43367004394531
8526,906, روشنده,37.50046568237062,48.839378356933594
8527,906,آرداجان,37.57675962461953,49.10330772399902
8525,906,ارده,37.56417412088097,48.85757446289062
8519,906,الکام,37.627352280468656,49.08665657043457
8522,906,پیش محله,37.58879889951298,49.02194023132324
8518,906,حوریان,37.62415725720204,49.04614448547363
8523,906,خلخالیان,37.60478023886118,49.08223628997803
8515,906,دیناچال,37.66306600676798,49.05502796173096
8524,906,رودکنار,37.63673261898312,49.07069206237793
8521,906,سیمبری خاله,37.64556808664432,49.06064987182617
8516,906,کوهستان ,37.61168175587532,49.051423072814934
8520,906,کیشه خاله,37.64380107717882,49.02623176574707
8528,906,مرکز شهر,37.6027912591848,49.06416893005371
8517,906,نوکنده,37.60797609482423,49.1143798828125
8177,907,تامین اجتماعی,37.79774659682308,48.90074729919433
8188,907,جاده ایربو,37.7745140408613,48.73294830322265
8172,907,جاده ساحلی تکی,37.78713175115391,48.97361755371094
8171,907,جاده سوراپشت,37.79967948763701,48.93035888671875
8185,907,جاده عنبراپشت,37.78143369709011,48.93791198730469
8174,907,جاده قروق,37.82537873563541,48.94855499267578
8189,907,جاده مریان,37.84666368454913,48.66874694824219
8173,907,جاده میانکوه,37.82253123860035,48.96228790283203
8170,907,جوکندان,37.898562344184356,48.90718460083008
8186,907,خطبه سرا,"",""
8175,907,خیابان شهید بهشتی,37.79632232912294,48.91160488128662
8179,907,خیابان کشاورز,37.80005249583167,48.90890121459961
8178,907,ریک,37.7934397985663,48.878173828125
8181,907,شیلان,37.850662400354544,48.912506103515625
8176,907,طاهری,37.78996365625470,48.90269994735718
8169,907,طولارود بالا,37.7754638359482,48.9087295532226
8190,907,کیش دیبی,37.82768377181359,48.79783630371094
8180,907,مرکز شهر,37.8046640778996,48.9085149765014
8187,907,میدان نماز,37.7831974274346,48.9125919342041
8184,907,نعلبند,37.8065289741725,48.8757705688476
8614,908,اسطلخ جان,36.93136953792501,49.552459716796875
8613,908,شیرکوه,36.89801814554322,49.57803726196289
8612,908,کیاآباد,36.854076373106146,49.510231018066406
8615,908,گاو خسب,36.88483826837581,49.5234489440918
8616,908,مرکزشهر,36.8961991832825,49.52531576156616
8634,909,بیورزین,36.66869429932853,49.630393981933594
8635,909,پارودبار,36.639773979496574,49.78145599365234
8636,909,داماش,36.7354449409363,49.80995178222656
8637,909,مرکز شهر,36.6992553955527,49.79021072387695
8426,910,اوشیان,36.99240731548099,50.5125617980957
8437,910,توسکامحله قاسم آباد,37.01242253073646,50.48114776611328
8435,910,جواهردشت,36.89417424977414,50.380210876464844
8432,910,چایجان,37.027704574230235,50.45702934265137
8434,910,چایخانسر,37.04051719171373,50.44741630554199
8423,910,سرولات,36.95140080870919,50.54208755493164
8429,910,سورخانی,36.96446631622193,50.577664375305176
8433,910,سیاهکلرود,37.01968702438231,50.43840408325195
8427,910,شیخ زاهد,36.973758265567504,50.544233322143555
8424,910,فکجور,36.97869522364332,50.51616668701172
8430,910,قاسم آباد سفلی,36.99981081734932,50.48741340637207
8431,910,قاسم آباد علیا,37.01091471861614,50.46372413635254
8436,910,گلسرخ,36.993092855192764,50.539770126342766
8438,910,مرکز شهر,36.975883939557804,50.57032585144043
8428,910,میانده,36.95959701904468,50.560798645019524
8425,910,هلوکله,36.98390610968992,50.52912712097168
8259,911,تازه آباد,37.304644804751106,50.208892822265625
8260,911,خالکیاسر,37.21911992046365,50.19550323486328
8262,911,ساحلی,37.23634200028308,50.26142120361328
8261,911,سادات محله,37.23634200028308,50.15876770019531
8256,911,گالشکلام,37.20736290925364,50.24803161621094
8257,911,مرکز شهر - چاف,37.25793238263784,50.21198272705078
8258,911,مرکز شهر - چمخاله,37.234155287534705,50.24322509765625
8710,912,ایلکوفی,38.15581951297253,48.80607604980469
8709,912,پلاسی,38.1902320777243,48.8327693939209
8712,912,حاج یداله محله,38.1680344597114,48.893795013427734
8711,912,خلخالیان,38.1635806277931,48.854055404663086
8707,912,شلقون,38.251392308809336,48.816375732421875
8708,912,لمیر,38.21970599413905,48.8203239440918
8713,912,مرکز شهر,38.17923531888477,48.8924217224121
8715,913,اوتار,38.156224461127984,48.898558616638184
8717,913,شیرآباد,38.091066402284945,48.88409614562988
8714,913,کوهستان حویق,38.114570520079546,48.744792938232415
8718,913,مرکز شهر,38.146842584835966,48.89158487319946
8716,913,هرندان,38.12307876717786,48.8920783996582
8280,914,امیربکنده,37.44392657631866,49.74437713623047
